index,num.trees,mtry,min.node.size,replace,sample.fraction,splitrule,RMSE,Rsquared
FALSE,150,49,1,FALSE,0.63,variance,0.7144395115397111,0.724826476218065
FALSE,150,65,1,TRUE,1,variance,0.7146014713627487,0.724580253590124
FALSE,150,78,1,TRUE,1,variance,0.7161161187145682,0.7232410520091203
FALSE,150,65,3,FALSE,0.5,variance,0.716120171138268,0.7232584819190788
FALSE,150,49,1,FALSE,0.8,variance,0.7161671781352666,0.7232821061232778
FALSE,150,49,1,FALSE,0.5,variance,0.7162801220387671,0.7232992976148276
FALSE,150,49,3,FALSE,0.8,variance,0.7162973399603862,0.7233800454942299
FALSE,150,78,1,FALSE,0.8,variance,0.7163161536962649,0.7228507041616551
FALSE,150,65,1,FALSE,0.5,variance,0.7164097653464334,0.7229206526238422
FALSE,150,49,3,FALSE,0.63,variance,0.7164641375780381,0.7232734367941516
FALSE,150,65,1,FALSE,0.63,variance,0.7164691084317079,0.7228595551890268
FALSE,150,49,3,FALSE,0.5,variance,0.7165628009827558,0.7232242053682076
FALSE,150,65,3,TRUE,1,variance,0.7166515580301139,0.7230262827297917
FALSE,150,65,3,FALSE,0.63,variance,0.7168655514611999,0.7226936699531931
FALSE,150,65,5,FALSE,0.8,variance,0.717070523632382,0.7226164605015818
FALSE,150,49,5,TRUE,1,variance,0.7171245630668012,0.7230544831582766
FALSE,150,49,5,FALSE,0.63,variance,0.7171513235622903,0.7226797451569782
FALSE,150,49,5,FALSE,0.5,variance,0.717202849765459,0.7226945113028085
FALSE,150,65,3,FALSE,0.8,variance,0.7172301140262525,0.7224145424495108
FALSE,150,78,1,FALSE,0.5,variance,0.7172975888713219,0.7220498271893928
FALSE,150,49,1,TRUE,1,variance,0.717329047347532,0.722597182555218
FALSE,150,78,3,FALSE,0.5,variance,0.7173301778194633,0.7220688779649287
FALSE,150,49,5,FALSE,0.8,variance,0.7174268576533445,0.72264398488582815
FALSE,150,78,3,TRUE,1,variance,0.7174603216653328,0.7222087807083153
FALSE,150,65,1,FALSE,0.8,variance,0.7175559352465709,0.7219576346241672
FALSE,150,49,3,TRUE,1,variance,0.7175780736297149,0.7223053465987357
FALSE,150,65,5,TRUE,1,variance,0.717655310182873,0.7223274597801351
FALSE,150,78,3,FALSE,0.8,variance,0.7177412111491397,0.7217229947433391
FALSE,150,65,5,FALSE,0.63,variance,0.7177918801650945,0.7219737992683674
FALSE,150,78,5,TRUE,1,variance,0.7178350718138332,0.7220493404704578
FALSE,150,78,1,FALSE,0.63,variance,0.7178384114902324,0.7216966905968225
FALSE,150,78,3,FALSE,0.63,variance,0.7180943019529333,0.7214500357799889
FALSE,150,65,5,FALSE,0.5,variance,0.7182571032893519,0.721719153260359
FALSE,150,78,5,FALSE,0.63,variance,0.7187215375983269,0.7211218619212435
FALSE,150,78,5,FALSE,0.5,variance,0.7193486608208166,0.720438449114687
FALSE,150,78,5,FALSE,0.8,variance,0.7205999081752575,0.7196014637408451
FALSE,150,14,3,FALSE,0.8,variance,0.7273009720803242,0.7165026672193394
FALSE,150,14,3,FALSE,0.5,variance,0.72771748547286,0.7159950488562129
FALSE,150,14,3,FALSE,0.63,variance,0.7277945851308968,0.7158502482256797
FALSE,150,14,1,FALSE,0.63,variance,0.728076064459483,0.7157244834171038
FALSE,150,14,1,FALSE,0.5,variance,0.7282325365943724,0.7156379322646459
FALSE,150,14,1,FALSE,0.8,variance,0.7283727363304092,0.7154502842385326
FALSE,150,14,3,TRUE,1,variance,0.728600676777977,0.715552654342382
FALSE,150,14,5,TRUE,1,variance,0.7291866772024379,0.7149506905765018
FALSE,150,14,1,TRUE,1,variance,0.7298207666777327,0.7142223538824888
FALSE,150,14,5,FALSE,0.63,variance,0.7300069439885847,0.7142968723401921
FALSE,150,14,5,FALSE,0.8,variance,0.7304589783542651,0.7140696874168475
FALSE,150,14,5,FALSE,0.5,variance,0.7318131869137506,0.7127805680945036
FALSE,200,49,1,FALSE,0.5,variance,0.7132016894198372,0.7258283248581093
FALSE,200,65,1,FALSE,0.5,variance,0.7135023017691603,0.7253790643132179
FALSE,200,49,3,FALSE,0.63,variance,0.7141344310642256,0.7252248464381856
FALSE,200,65,1,FALSE,0.8,variance,0.714207731566289,0.7247585484436389
FALSE,200,49,3,FALSE,0.5,variance,0.7147494932213939,0.7246180798766441
FALSE,200,49,1,TRUE,1,variance,0.7147788756739248,0.7248197908363806
FALSE,200,49,3,FALSE,0.8,variance,0.7150910420678028,0.7243624422323779
FALSE,200,49,5,FALSE,0.5,variance,0.715208454497003,0.7243903772213666
FALSE,200,65,3,TRUE,1,variance,0.7153758108619005,0.7240172191623392
FALSE,200,49,1,FALSE,0.63,variance,0.7154510705921493,0.7239867823909825
FALSE,200,65,5,TRUE,1,variance,0.7156768876946753,0.7237883807909314
FALSE,200,49,5,FALSE,0.63,variance,0.7158319317196917,0.7238844976405643
FALSE,200,65,1,TRUE,1,variance,0.7158645043271028,0.7235597195653568
FALSE,200,49,1,FALSE,0.8,variance,0.7158789348107637,0.7236616457047091
FALSE,200,65,3,FALSE,0.8,variance,0.7160692301962397,0.7233072321631222
FALSE,200,49,3,TRUE,1,variance,0.716462664536474,0.723543019242367
FALSE,200,65,5,FALSE,0.8,variance,0.7165301262888023,0.7230049577972553
