value,description,value_rcl,description_rcl
74,1M79L,74,1M79L
75,1M79LD,75,1M79LD
76,1M81ykd,76,1M81ykd
77,1M82,77,1M82
78,1M84,78,1M84
79,1M92E,79,1M92E
80,1M93E,80,1M93E
81,21R23v,81,21R23v
82,21R42v,82,21R42v
83,21R43,83,21R43
84,22R21ydl,84,22R21ydl
85,22R23,85,22R23
86,22R43,86,22R43
87,22R23v,87,22R23v
88,22R43v,88,22R43v
89,22R41H,89,22R41H
90,22R41L,90,22R41L
91,22R42,91,22R42
92,22R42H,92,22R42H
93,22R42L,93,22R42L
94,22R42v,94,22R42v
95,22R44,95,22R44
96,22R45,96,22R45
97,22R46,97,22R46
98,22R71,98,22R71
99,22R71D,99,22R71D
100,23R21ydl,100,23R21ydl
101,23R42H,101,23R42H
102,23R42L,102,23R42L
103,23R43,103,23R43
104,23R45,104,23R45
105,23R46,105,23R46
106,23R71,106,23R71
107,25R21ydl,107,25R21ydl
108,27R21ydl,108,27R21ydl
109,26R21ydl,109,26R21ydl
110,28R21ydl,110,28R21ydl
111,2B44,111,2B44
112,2B47,112,2B47
113,2B57yov,113,2B57yov
114,2B72,114,2B72
115,2L61,115,2L61
116,2M11,116,2M11
117,2M11dH,117,2M11dH
118,2M11dL,118,2M11dL
119,2M11gd,119,2M11gd
120,2M12,120,2M12
121,2M21,121,2M21
122,2M21dH,122,2M21dH
123,2M21dl,123,2M21dl
124,2M31yd,124,2M31yd
125,2M41,125,2M41
126,2M41d,126,2M41d
127,2M42,127,2M42
128,2M42yd,128,2M42yd
129,2M42yoV,129,2M42yoV
130,2M43yms,130,2M43yms
131,2M44,131,2M44
132,2M44v,132,2M44v
133,2M45,133,2M45
134,2M45HD,134,2M45HD
135,2M45LD,135,2M45LD
136,2M46,136,2M46
137,2M47,137,2M47
138,2M48,138,2M48
139,2M51,139,2M51
140,2M52,140,2M52
141,2M53,141,2M53
142,2M53H,142,2M53H
143,2M53L,143,2M53L
144,2M53ovV,144,2M53ovV
145,2M54,145,2M54
146,2M61k,146,2M61k
147,2M62,147,2M62
148,2M71E,148,2M71E
149,2M72,149,2M72
150,2M72D,150,2M72D
151,2M72H,151,2M72H
152,2M72L,152,2M72L
153,2M72w,153,2M72w
154,2M73,154,2M73
155,2M74,155,2M74
156,2M75,156,2M75
157,2M76ysV,157,2M76ysV
158,2M76ysVH,158,2M76ysVH
159,2M77,159,2M77
160,2M78ysD,160,2M78ysD
161,2M79H,161,2M79H
162,2M79HD,162,2M79HD
163,2M79L,163,2M79L
164,2M79LD,164,2M79LD
165,2M81ykd,165,2M81ykd
166,2M82,166,2M82
167,2M83,167,2M83
168,2M84,168,2M84
169,2M91iH,169,2M91iH
170,2M91iL,170,2M91iL
171,2M92E,171,2M92E
172,2M92EL,172,2M92EL
173,2M93E,173,2M93E
174,2N94,174,2N94
175,32R21ydl,175,32R21ydl
176,32R41H,176,32R41H
177,32R41L,177,32R41L
178,32R42L,178,32R42L
179,33R21ydl,179,33R21ydl
180,33R22,180,33R22
181,33R41H,181,33R41H
182,33R41L,182,33R41L
183,33R42H,183,33R42H
184,33R42L,184,33R42L
185,35R21ydl,185,35R21ydl
186,35R22,186,35R22
187,37R21ydl,187,37R21ydl
188,37R22ydl,188,37R22ydl
189,36R21ydl,189,36R21ydl
190,38R21ydl,190,38R21ydl
191,10B11,191,10B11
192,3B11yd,192,3B11yd
193,10B11yd,193,10B11yd
194,3B13,194,3B13
195,10B13,195,10B13
196,3B13dyc,196,3B13dyc
197,10B13dyc,197,10B13dyc
198,3B13kv,198,3B13kv
199,10B13kv,199,10B13kv
200,3B13yd,200,3B13yd
201,10B14,201,10B14
202,3B14,202,3B14
203,3B15,203,3B15
204,10B15,204,10B15
205,10B16yd,205,10B16yd
206,3B16yd,206,3B16yd
207,3B31tyd,207,3B31tyd
208,10B31tyd,208,10B31tyd
209,10B41yd,209,10B41yd
210,3B41yd,210,3B41yd
211,10B43,211,10B43
212,3B43,212,3B43
213,3B43d,213,3B43d
214,10B43d,214,10B43d
215,10B44,215,10B44
216,3B44,216,3B44
217,10B45D,217,10B45D
218,3B45D,218,3B45D
219,3B46,219,3B46
220,10B46,220,10B46
221,3B47,221,3B47
222,10B47,222,10B47
223,3B52yc,223,3B52yc
224,10B52yc,224,10B52yc
225,3B53yc,225,3B53yc
226,10B53yc,226,10B53yc
227,3B54w,227,3B54w
228,10B55yc,228,10B55yc
229,3B55yc,229,3B55yc
230,10B56yc,230,10B56yc
231,3B56yc,231,3B56yc
232,10B57,232,10B57
233,10B57yov,233,10B57yov
234,10G41yov,234,10G41yov
235,10B58,235,10B58
237,10B59,236,10B59
238,3B61,237,3B61
239,10B61,238,10B61
240,3B71,239,3B71
241,10B71,240,10B71
242,10B72,241,10B72
243,3B72,242,3B72
244,10B73,243,10B73
245,3B73,244,3B73
246,3B74,245,3B74
247,10B74,246,10B74
248,3B75,247,3B75
249,10B75,248,10B75
250,3B76ysE,249,3B76ysE
251,10B76ysE,250,10B76ysE
252,10B77,251,10B77
253,10B81,252,10B81
254,10B82,253,10B82
256,3.00E+41,254,Unknown
257,3.00E+44,254,Unknown
396,4.00E+11,254,Unknown
397,4.00E+44,254,Unknown
455,5.00E+11,254,Unknown
456,5.00E+41,254,Unknown
460,5.00E+44,254,Unknown
482,6.00E+11,254,Unknown
485,6.00E+41,254,Unknown
501,7.00E+11,254,Unknown
512,8.00E+41,254,Unknown
518,9.00E+41,254,Unknown
258,3E44dG,256,3E44dG
259,3E44dGH,257,3E44dGH
260,3E44dV,258,3E44dV
261,3E44H,259,3E44H
262,3F11dyc,260,3F11dyc
263,3F12yd,261,3F12yd
264,3F41,262,3F41
265,3F41d,263,3F41d
266,3F41yd,264,3F41yd
267,3F51yc,265,3F51yc
268,3F81,266,3F81
269,3F91,267,3F91
270,3G21,268,3G21
271,10G21,269,10G21
272,10G21ydl,270,10G21ydl
273,3G21ydl,271,3G21ydl
274,10G41,272,10G41
275,3G41,273,3G41
