OBJECTID,grondsoort,FREQUENCY,COUNT_gron
375,   - -  ,5,5
376,   - -  -,31,31
377,   - -   ,322,322
378,   - -  Klei,1,1
379,   - - klei ,6,6
380,   - - klei -,1,1
381,   - - klei  ,27,27
382,   - - veen ,4,4
383,   - - veen -,3,3
384,   - - veen  ,84,84
385,   - - Zand,14,14
386,   - - zand -,2,2
387,   - - zand  ,35,35
388,   -  ,284,284
389,   -  -,9248,9248
390,   -  - ,3,3
391,   -  -  ,1,1
392,   -  - veen,4,4
393,   -  - zeeklei,1,1
394,   -   ,1161,1161
395,   -   -  ,4,4
396,   -    ,13,13
397,   -    -,4,4
398,   -     ,136,136
399,   -    veen,11,11
400,   -   klei,3,3
401,   -   Klei,7,7
402,   -   klei  ,1,1
403,   -   veen,153,153
404,   -   veen veen,3,3
405,   -   zand,3,3
406,   -   Zand,85,85
407,   -   zand  ,3,3
408,   -   zeeklei,76,76
409,   -  Klei,16,16
410,   -  Klei-Zand,5,5
411,   -  veen ,121,121
412,   -  veen veen,38,38
413,   -  Zand,50,50
414,   -  zand ,41,41
415,   -  zand Zand,1,1
416,   - klei ,9,9
417,   - klei -,3,3
418,   - Klei - Klei,2,2
419,   - klei   ,2,2
420,   - klei  klei,27,27
421,   - klei  Klei,8,8
422,   - Klei  Klei,66,66
423,   - klei Klei,3,3
424,   - veen ,4,4
425,   - Veen   ,8,8
426,   - veen  veen,434,434
427,   - Veen  Veen,64,64
428,   - veen veen veen,24,24
429,   - zand -,9,9
430,   - Zand -,4,4
431,   - zand  ,4,4
432,   - zand   ,10,10
433,   - zand  zand,4,4
434,   - zand  Zand,50,50
435,   - Zand  Zand,94,94
436,   - zand zand ,1,1
437,   - zand zand  ,1,1
438,   - zand zand Zand,1,1
439,    - ,370,370
440,    - -,2,2
441,    - - ,37,37
442,    - - -,900,900
443,    - - - -,1,1
444,    - - -  ,379,379
445,    - -  ,510,510
446,    -  ,3,3
447,    -  -,122,122
448,    -  - ,77,77
449,    -  - Zand,19,19
450,    -   ,21,21
451,    -   - ,2,2
452,    -   -  ,52,52
453,    -   - Zand,13,13
454,    -   zand  ,7,7
455,    -  zand ,66,66
456,    -  zand Zand,38,38
457,    - Klei,1,1
458,    - klei -,18,18
459,    - Klei -  ,1,1
460,    - Klei - Klei,769,769
461,    - Klei  Klei,2,2
462,    - Klei Veen Klei,3,3
463,    - veen,4,4
464,    - Veen -  ,90,90
465,    - Veen - Veen,136,136
466,    - Veen - Zand,10,10
467,    - Veen   ,1,1
468,    - Veen Zand  ,5,5
469,    - Zand,5,5
470,    - Zand ,3,3
471,    - Zand -,58,58
472,    - zand - ,1,1
473,    - Zand -  ,38,38
474,    - zand - Zand,86,86
475,    - Zand - Zand,558,558
476,    - zand zand ,5,5
477,    - zand zand  ,19,19
478,    - zand zand Zand,27,27
479,    - Zand Zand Zand,26,26
480,    - zeeklei,5,5
481,     ,5959,5959
482,     -,52,52
483,     - ,853,853
484,     - -,44,44
485,     -  ,12,12
486,     - Klei,3,3
487,     - Zand,39,39
488,      ,545,545
489,      -,38,38
490,      - ,31,31
491,      - -,3,3
492,      -  ,187,187
493,      - Zand,19,19
494,       ,883,883
495,       -  ,2,2
496,       - Zand,7,7
497,        ,24,24
498,         ,4,4
499,        Zand,79,79
500,       Zand,59,59
501,       Zand  ,1,1
502,       Zand Zand,8,8
503,      klei,22,22
504,      Klei,19,19
505,      klei  ,1,1
506,      veen,36,36
507,      Zand,185,185
508,      zand ,3,3
509,      Zand ,51,51
510,      zeeklei,1,1
511,     klei,21,21
512,     Klei,44,44
513,     Klei-Zand,1,1
514,     klei ,7,7
515,     klei  ,230,230
516,     klei klei,2,2
517,     klei Klei,29,29
518,     veen,82,82
519,     veen ,4,4
520,     Veen -  ,2,2
521,     Veen - Zand,3,3
522,     Veen   ,15,15
523,     Veen  Zand,3,3
524,     Veen Zand,2,2
525,     Veen Zand  ,4,4
526,     Veen Zand Zand,1,1
527,     zand,75,75
528,     Zand,80,80
529,     zand ,57,57
530,     Zand ,403,403
531,     Zand -,32,32
532,     Zand - Zand,2,2
533,     zand  ,120,120
534,     Zand   ,16,16
535,     Zand  Zand,32,32
536,     zand Zand,48,48
537,     Zand Zand,2,2
538,     zand zand ,1,1
539,     zand zand Zand,1,1
540,     Zand Zand Zand,1,1
541,     zeeklei,77,77
542,    klei ,1320,1320
543,    Klei ,1,1
544,    klei - ,10,10
545,    klei - -,1,1
546,    Klei - ,1,1
547,    klei - - Klei,2,2
548,    klei -  ,4,4
549,    klei - klei,60,60
550,    klei - Klei,5,5
551,    Klei - Klei,25,25
552,    Klei     ,1,1
553,    Klei    Zand,1,1
554,    klei  klei,3,3
555,    Klei  Klei,7,7
556,    klei klei,2,2
557,    klei Klei,2,2
558,    klei klei ,8,8
559,    klei klei -,1,1
560,    Klei Klei  Klei,1,1
561,    klei klei Klei,4,4
562,    Klei Veen   ,3,3
563,    veen ,27,27
564,    Veen -  ,41,41
565,    Veen - Veen,27,27
566,    Veen - Zand,3,3
567,    Veen   ,9,9
568,    Veen  Zand,5,5
569,    veen veen,12,12
570,    zand ,1081,1081
571,    Zand ,85,85
572,    zand - ,1,1
573,    zand - -  ,20,20
574,    Zand -  ,16,16
575,    zand - zand,11,11
576,    zand - Zand,265,265
577,    Zand - Zand,17,17
578,    zand - zand  ,10,10
579,    zand  ,2,2
580,    Zand  ,1,1
581,    zand  - ,37,37
582,    zand  - Zand,16,16
583,    zand   ,11,11
584,    Zand   ,42,42
585,    zand  Zand,15,15
586,    Zand  Zand,30,30
587,    zand  zand ,20,20
588,    zand  zand Zand,214,214
589,    zand Zand,3,3
590,    Zand Zand,2,2
591,    zand zand ,7,7
592,    zand zand - ,3,3
593,    zand zand -  ,2,2
594,    zand zand - Zand,7,7
595,    zand zand  ,2,2
596,    zand zand zand,2,2
597,    zand zand Zand,62,62
598,    Zand Zand Zand,9,9
599,    zand zand zand ,9,9
600,    zand zand zand  ,14,14
601,    zand zand zand Zand,9,9
602,   Klei-Zand  Klei-Zand,118,118
603,   klei - ,15,15
604,   Klei - -,2,2
605,   klei - - ,1,1
606,   klei -  ,4,4
607,   klei -  -,73,73
608,   klei -   ,226,226
609,   klei - klei,7,7
610,   Klei - Klei,3,3
611,   klei  ,1097,1097
612,   klei  -,11,11
613,   Klei  ,1,1
614,   Klei  -,6,6
615,   klei   ,220,220
616,   Klei   ,7,7
617,   klei     ,5,5
618,   klei   Klei,15,15
619,   klei   Zand,58,58
620,   klei   zeeklei,1,1
621,   klei  klei,906,906
622,   klei  Klei,344,344
623,   Klei  Klei,160,160
624,   klei  veen,16,16
625,   Klei  Zand,2,2
626,   klei klei ,635,635
627,   klei klei -,1,1
628,   klei klei  ,11,11
629,   klei klei   ,59,59
630,   klei klei  Klei,26,26
631,   klei klei klei,66,66
632,   klei klei Klei,24,24
633,   klei klei klei Klei,2,2
634,   klei zand ,5,5
635,   klei zand  Zand,16,16
636,   PKB  ,30,30
637,   PKB  -,1,1
638,   PKB veen ,1,1
639,   Veen-Zand  ,1,1
640,   Veen-Zand  -,3,3
641,   Veen-Zand  Veen-Zand,73,73
642,   veen - - ,3,3
643,   veen - -  ,21,21
644,   veen -  ,4,4
645,   Veen -  ,15,15
646,   veen -   ,7,7
647,   Veen - Zand,1,1
648,   veen  ,14,14
649,   Veen  ,4,4
650,   veen   ,230,230
651,   Veen   ,74,74
652,   veen    ,5,5
653,   veen    veen,9,9
654,   veen   veen,22,22
655,   veen   veen veen,4,4
656,   veen  veen,128,128
657,   Veen  Veen,8,8
658,   veen  veen ,45,45
659,   veen  veen veen,13,13
660,   Veen  Zand,18,18
